,PassengerNumber,Name,HomePlanet_0,HomePlanet_1,Destination_0,Destination_1,deck,numofcabin,side_0,side_1,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,1,5252,0,1,0,1,1,0,0,1,39,False,False,0,0,0,0,0,False
1,2,4502,1,0,0,1,5,0,1,0,24,False,False,109,9,25,549,44,True
2,3,457,0,1,0,1,0,0,1,0,58,False,True,43,3576,0,6715,49,False
3,3,7149,0,1,0,1,0,0,1,0,33,False,False,0,1283,371,3329,193,False
4,4,8319,1,0,0,1,5,1,1,0,16,False,False,303,70,151,565,2,True
5,5,6878,1,0,1,0,5,0,0,1,44,False,False,0,483,0,291,0,True
6,6,1155,1,0,0,1,5,2,1,0,26,False,False,42,1539,3,0,0,True
7,6,1453,1,0,0,1,6,0,1,0,28,True,False,0,0,0,0,336,True
8,7,556,1,0,0,1,5,3,1,0,35,False,False,0,785,17,216,0,True
9,8,2864,0,1,1,1,1,1,0,1,14,True,False,0,0,0,0,0,True
10,8,453,0,1,0,1,1,1,0,1,34,True,False,0,0,8,0,0,True
11,8,8255,0,1,1,1,1,1,0,1,45,False,False,39,7295,589,110,124,True
12,9,1084,1,1,0,1,5,1,0,1,32,False,False,73,0,1123,0,113,True
13,10,6576,1,0,0,1,6,1,1,0,48,False,False,719,1,65,0,24,False
14,11,2699,1,0,0,1,5,2,0,1,28,False,False,8,974,12,2,7,True
15,12,4535,1,0,0,1,1,224,0,1,31,False,False,32,0,876,0,0,False
16,14,3060,1,1,1,1,5,3,0,1,27,False,False,1286,122,0,0,0,False
17,15,1548,1,0,1,1,5,4,0,1,24,False,False,0,1,0,0,637,False
18,16,465,1,1,0,1,5,5,0,1,45,True,False,0,0,0,0,0,True
19,17,5172,1,0,0,1,6,0,0,1,0,False,False,0,0,0,0,0,True
20,17,6244,1,0,1,1,5,6,0,1,14,False,False,412,0,1,0,679,False
21,20,364,1,0,0,1,4,0,1,0,1,True,False,0,0,0,0,0,False
22,20,3371,1,0,1,1,4,0,1,0,49,True,False,0,0,0,0,0,False
23,20,5676,1,0,1,1,4,0,1,0,29,True,False,0,0,591,0,0,False
24,20,1343,1,0,0,1,4,0,1,0,10,False,False,0,0,0,0,0,True
25,20,5239,1,0,1,0,4,0,1,0,1,True,False,0,0,0,0,0,False
